Nacionalidad;Pais_de_nacimiento;Periodo;Total
Dinamarca;Total;2016S1;328
Dinamarca;Total;2015S2;411
Dinamarca;Total;2015S1;296
Dinamarca;Total;2014S2;399
Dinamarca;Total;2014S1;308
Dinamarca;Total;2013S2;341
Dinamarca;Total;2013S1;327
Dinamarca;Total;2012S2;435
Dinamarca;Total;2012S1;338
Dinamarca;Total;2011S2;345
Dinamarca;Total;2011S1;313
Dinamarca;Total;2010S2;332
Dinamarca;Total;2010S1;307
Dinamarca;Total;2009S2;324
Dinamarca;Total;2009S1;263
Dinamarca;Total;2008S2;368
Dinamarca;Total;2008S1;361
Dinamarca;España;2022S1;3
Dinamarca;España;2021S2;5
Dinamarca;España;2021S1;3
Dinamarca;España;2020S2;2
Dinamarca;España;2020S1;2
Dinamarca;España;2019S2;7
Dinamarca;España;2019S1;0
Dinamarca;España;2018S2;2
Dinamarca;España;2018S1;7
Dinamarca;España;2017S2;8
Dinamarca;España;2017S1;7
Dinamarca;España;2016S2;9
Dinamarca;España;2016S1;4
Dinamarca;España;2015S2;7
Dinamarca;España;2015S1;3
Dinamarca;España;2014S2;4
Dinamarca;España;2014S1;5
Dinamarca;España;2013S2;6
Dinamarca;España;2013S1;4
Dinamarca;España;2012S2;9
Dinamarca;España;2012S1;9
Dinamarca;España;2011S2;4
Dinamarca;España;2011S1;3
Dinamarca;España;2010S2;5
Dinamarca;España;2010S1;4
Dinamarca;España;2009S2;4
Dinamarca;España;2009S1;5
Dinamarca;España;2008S2;1
Dinamarca;España;2008S1;6
Dinamarca;Extranjero;2022S1;490
Dinamarca;Extranjero;2021S2;505
Dinamarca;Extranjero;2021S1;331
Dinamarca;Extranjero;2020S2;344
Dinamarca;Extranjero;2020S1;253
Dinamarca;Extranjero;2019S2;463
Dinamarca;Extranjero;2019S1;431
Dinamarca;Extranjero;2018S2;472
Dinamarca;Extranjero;2018S1;441
Dinamarca;Extranjero;2017S2;444
Dinamarca;Extranjero;2017S1;423
Dinamarca;Extranjero;2016S2;401
Dinamarca;Extranjero;2016S1;323
Dinamarca;Extranjero;2015S2;403
Dinamarca;Extranjero;2015S1;294
Dinamarca;Extranjero;2014S2;394
Dinamarca;Extranjero;2014S1;303
Dinamarca;Extranjero;2013S2;335
Dinamarca;Extranjero;2013S1;323
Dinamarca;Extranjero;2012S2;427
Dinamarca;Extranjero;2012S1;329
Dinamarca;Extranjero;2011S2;341
Dinamarca;Extranjero;2011S1;310
Dinamarca;Extranjero;2010S2;327
Dinamarca;Extranjero;2010S1;303
Dinamarca;Extranjero;2009S2;320
Dinamarca;Extranjero;2009S1;258
Dinamarca;Extranjero;2008S2;367
Dinamarca;Extranjero;2008S1;355
Finlandia;Total;2022S1;528
Finlandia;Total;2021S2;455
Finlandia;Total;2021S1;402
Finlandia;Total;2020S2;353
Finlandia;Total;2020S1;298
Finlandia;Total;2019S2;492
Finlandia;Total;2019S1;466
Finlandia;Total;2018S2;530
Finlandia;Total;2018S1;532
Finlandia;Total;2017S2;558
Finlandia;Total;2017S1;513
Finlandia;Total;2016S2;489
Finlandia;Total;2016S1;421
Finlandia;Total;2015S2;434
Finlandia;Total;2015S1;421
Finlandia;Total;2014S2;456
Finlandia;Total;2014S1;424
Finlandia;Total;2013S2;462
Finlandia;Total;2013S1;406
Finlandia;Total;2012S2;529
Finlandia;Total;2012S1;383
Finlandia;Total;2011S2;536
Finlandia;Total;2011S1;431
Finlandia;Total;2010S2;531
Finlandia;Total;2010S1;400
Finlandia;Total;2009S2;357
Finlandia;Total;2009S1;314
Finlandia;Total;2008S2;314
Finlandia;Total;2008S1;393
Finlandia;España;2022S1;1
Finlandia;España;2021S2;3
Finlandia;España;2021S1;2
Finlandia;España;2020S2;4
Finlandia;España;2020S1;2
Finlandia;España;2019S2;3
Finlandia;España;2019S1;0
Finlandia;España;2018S2;4
Finlandia;España;2018S1;0
Finlandia;España;2017S2;6
Finlandia;España;2017S1;1
Finlandia;España;2016S2;2
Finlandia;España;2016S1;5
Finlandia;España;2015S2;5
Finlandia;España;2015S1;4
Finlandia;España;2014S2;2
Finlandia;España;2014S1;1
Finlandia;España;2013S2;1
Finlandia;España;2013S1;2
Finlandia;España;2012S2;4
Finlandia;España;2012S1;0
Finlandia;España;2011S2;6
Finlandia;España;2011S1;2
Finlandia;España;2010S2;6
Finlandia;España;2010S1;2
Finlandia;España;2009S2;1
Finlandia;España;2009S1;""
Finlandia;España;2008S2;1
Finlandia;España;2008S1;4
Finlandia;Extranjero;2022S1;527
Finlandia;Extranjero;2021S2;452
Finlandia;Extranjero;2021S1;400
Finlandia;Extranjero;2020S2;349
Finlandia;Extranjero;2020S1;296
Finlandia;Extranjero;2019S2;489
Finlandia;Extranjero;2019S1;466
Finlandia;Extranjero;2018S2;526
Finlandia;Extranjero;2018S1;532
Finlandia;Extranjero;2017S2;552
Finlandia;Extranjero;2017S1;512
Finlandia;Extranjero;2016S2;487
Finlandia;Extranjero;2016S1;416
Finlandia;Extranjero;2015S2;428
Finlandia;Extranjero;2015S1;418
Finlandia;Extranjero;2014S2;454
Finlandia;Extranjero;2014S1;423
Finlandia;Extranjero;2013S2;461
Finlandia;Extranjero;2013S1;404
Finlandia;Extranjero;2012S2;525
Finlandia;Extranjero;2012S1;383
Finlandia;Extranjero;2011S2;530
Finlandia;Extranjero;2011S1;429
Finlandia;Extranjero;2010S2;525
Finlandia;Extranjero;2010S1;398
Finlandia;Extranjero;2009S2;356
Finlandia;Extranjero;2009S1;314
Finlandia;Extranjero;2008S2;313
Finlandia;Extranjero;2008S1;389
Francia;Total;2022S1;5735
Francia;Total;2021S2;7333
Francia;Total;2021S1;6012
Francia;Total;2020S2;6272
Francia;Total;2020S1;3935
Francia;Total;2019S2;6792
Francia;Total;2019S1;5333
Francia;Total;2018S2;6562
Francia;Total;2018S1;5173
Francia;Total;2017S2;6444
Francia;Total;2017S1;4991
Francia;Total;2016S2;5262
Francia;Total;2016S1;4076
Francia;Total;2015S2;5081
Francia;Total;2015S1;3940
Francia;Total;2014S2;4659
Francia;Total;2014S1;3436
Francia;Total;2013S2;4257
Francia;Total;2013S1;3030
Francia;Total;2012S2;3965
Francia;Total;2012S1;3466
Francia;Total;2011S2;4279
Francia;Total;2011S1;3527
Francia;Total;2010S2;4268
Francia;Total;2010S1;3519
Francia;Total;2009S2;4142
Francia;Total;2009S1;3600
Francia;Total;2008S2;4567
Francia;Total;2008S1;4331
Francia;España;2022S1;75
Francia;España;2021S2;133
Francia;España;2021S1;101
Francia;España;2020S2;96
Francia;España;2020S1;76
Francia;España;2019S2;139
Francia;España;2019S1;104
Francia;España;2018S2;123
Francia;España;2018S1;114
Francia;España;2017S2;155
Francia;España;2017S1;148
Francia;España;2016S2;154
Francia;España;2016S1;135
Francia;España;2015S2;160
Francia;España;2015S1;160
Francia;España;2014S2;142
Francia;España;2014S1;121
Francia;España;2013S2;128
Francia;España;2013S1;130
Francia;España;2012S2;123
Francia;España;2012S1;111
Francia;España;2011S2;122
Francia;España;2011S1;122
Francia;España;2010S2;140
Francia;España;2010S1;117
Francia;España;2009S2;130
Francia;España;2009S1;125
Francia;España;2008S2;107
Francia;España;2008S1;139
Francia;Extranjero;2022S1;5660
Francia;Extranjero;2021S2;7200
Francia;Extranjero;2021S1;5911
Francia;Extranjero;2020S2;6176
Francia;Extranjero;2020S1;3859
Francia;Extranjero;2019S2;6653
Francia;Extranjero;2019S1;5229
Francia;Extranjero;2018S2;6439
Francia;Extranjero;2018S1;5059
Francia;Extranjero;2017S2;6289
Francia;Extranjero;2017S1;4843
Francia;Extranjero;2016S2;5108
Francia;Extranjero;2016S1;3941
Francia;Extranjero;2015S2;4921
Francia;Extranjero;2015S1;3780
Francia;Extranjero;2014S2;4518
